id,trial_id,tube_id,start_time,end_time,weight_empty,weight_full,brix_percent,weight_before_dilution,weight_after_dilution,diluted_brix,notes
1,1,1,0.000,7.827,6.56,6.75,30.7,6.64,6.85,10.6,Started diulted samples after doing normal samples
2,1,2,7.946,8.638,6.64,6.94,28.9,6.82,7.35,6.9,
3,1,3,8.757,9.495,6.49,7.02,29.7,6.93,7.48,13.2,
4,1,4,9.614,10.405,6.65,7.25,29.4,7.18,7.69,14.4,
5,1,5,10.524,11.373,6.61,7.44,28.9,,,,
6,1,6,11.492,12.408,6.41,7.55,26.9,,,,
7,1,7,12.526,13.519,6.75,8.22,24.7,,,,
8,1,8,13.637,14.720,6.60,8.63,21.2,,,,
9,1,9,14.839,16.025,6.64,9.31,17.3,,,,
10,1,10,16.144,17.455,6.41,10.52,13.2,,,,
11,1,11,17.574,19.035,6.42,10.42,9.8,,,,
12,1,12,19.154,20.802,6.68,11.57,7.2,,,,
13,1,13,20.921,22.805,6.58,11.76,5.0,,,,
14,1,14,22.924,25.117,6.37,12.40,3.3,,,,
15,1,15,25.235,27.852,6.36,12.64,2.4,,,,Paused after this measurement to get batteries for scale
16,1,16,27.970,31.199,6.54,14.03,1.8,,,,
17,1,17,31.318,33.897,6.69,12.75,1.4,,,,
18,1,18,34.016,36.895,6.42,13.03,1.2,,,,
19,1,19,37.014,39.217,6.63,11.62,1.0,,,,
20,2,1,0.000,8.085,6.49,7.46,31.1,7.33,8.22,14.4,
21,2,2,8.203,8.896,6.58,7.20,30.0,7.14,7.84,12.8,
22,2,3,9.014,9.753,6.49,7.25,28.3,7.18,7.93,13.8,
23,2,4,9.872,10.663,6.63,7.54,27.5,7.39,8.18,14.2,
24,2,5,10.782,11.631,6.59,8.67,24.9,8.57,10.57,12.7,
25,2,6,11.750,12.666,6.36,8.47,20.3,8.35,10.33,10.3,
26,2,7,12.785,13.777,6.72,9.55,16.5,9.44,12.65,8.2,
27,2,8,13.896,14.978,6.56,9.10,13.7,,,,
28,2,9,15.097,16.283,6.61,10.04,11.3,,,,
29,2,10,16.402,17.713,6.37,9.97,8.7,,,,
30,2,11,17.832,19.293,6.40,10.31,6.7,,,,
31,2,12,19.412,21.060,6.63,10.84,5.1,,,,
32,2,13,21.179,23.063,6.53,11.04,3.8,,,,
33,2,14,23.181,25.375,6.36,11.29,2.9,,,,
34,2,15,25.494,28.110,6.32,11.97,2.2,,,,
35,2,16,28.229,31.457,6.52,13.13,1.8,,,,
36,2,17,31.576,34.953,6.67,13.30,1.4,,,,
37,2,18,35.072,38.449,6.39,12.85,1.1,,,,
38,2,19,38.569,42.514,6.59,13.92,1.0,,,,
39,2,20,42.633,46.206,6.56,13.52,0.8,,,,
40,3,1,0.000,25.674,6.50,7.22,,7.10,7.70,17.0,Brix off scale for first few samples
41,3,2,25.793,28.107,6.60,6.87,,6.80,7.06,13.3,
42,3,3,28.226,30.679,6.48,6.78,,6.71,7.02,14.1,
43,3,4,30.797,33.407,6.62,7.15,,7.14,7.65,18.0,
44,3,5,33.525,36.311,6.59,7.23,,7.21,7.89,16.0,
45,3,6,36.429,39.416,6.36,7.49,,7.50,8.63,14.9,
46,3,7,39.535,42.751,6.70,8.37,28.4,8.26,10.30,14.2,
47,3,8,42.869,46.353,6.57,9.05,23.1,8.89,11.26,11.4,
48,3,9,46.472,50.268,6.60,10.25,18.3,10.10,13.63,10.3,Lots of liquid; difficult to mix after dilution
49,3,10,50.387,54.557,6.36,10.96,13.7,,,,
50,3,11,54.676,59.298,6.42,11.77,9.7,,,,
51,3,12,59.417,64.599,6.64,12.40,6.0,,,,
52,3,13,64.717,70.607,6.55,12.45,3.5,,,,
53,3,14,70.726,77.544,6.34,12.84,2.2,,,,
54,3,15,77.663,85.426,6.32,13.23,1.3,,,,
55,3,16,85.545,93.853,6.51,13.64,0.9,,,,
56,3,17,93.972,102.622,6.66,13.80,0.7,,,,
57,3,18,102.742,111.891,6.36,13.65,0.6,,,,
58,3,19,112.010,121.750,6.56,14.07,0.4,,,,
59,3,20,121.870,131.490,6.55,13.87,0.4,,,,
